序号	英文	音标	中文
128	British	/ˈbrɪtɪʃ/	英国人；英国的，英国人的
129	want	/wɒnt/	想要
130	the UK		英国
131	London	/ˈlʌndən/	伦敦
132	River Thames		泰晤士河
133	other	/ˈʌðə(r)/	别的，其他的
134	Big Ben		大本钟
135	clock	/klɒk/	钟，钟表
136	heavy	/ˈhevi/	沉的，沉重的
137	tower	/ˈtaʊə(r)/	塔，塔楼
138	bank	/bæŋk/	岸；银行
139	top	/tɒp/	顶端，顶部
140	New Delhi		新德里
141	Taj Mahal		泰姬陵
142	most	/məʊst/	最大，最多
143	wonder	/ˈwʌndə(r)/	奇观；惊奇
144	Italy	/ˈɪtəli/	意大利
145	Rome	/rəʊm/	罗马
146	Venice	/ˈvenɪs/	威尼斯
147	gondola	/ˈɡɒndələ/	威尼斯小划船
148	taxi	/ˈtæksi/	出租车，的士
149	Washington D.C.		华盛顿特区
150	New York		纽约
151	work	/wɜːk/	工作
152	popular	/ˈpɒpjələ(r)/	受欢迎的
153	badminton	/ˈbædmɪntən/	羽毛球
154	hit	/hɪt/	打，击
155	miss	/mɪs/	错过
156	much	/mʌtʃ/	很多，非常
157	tennis	/ˈtenɪs/	网球
158	rugby	/ˈrʌɡbi/	英式橄榄球
159	lesson	/ˈles(ə)n/	一节课；一堂课
160	team	/tiːm/	运动队；（工作）队/组
161	really	/ˈrɪəli/	确实，真正地
162	newspaper	/ˈnjuːzpeɪpə(r)/	报纸
163	skiing	/ˈskiːɪŋ/	滑雪
164	ice hockey		冰球
165	age	/eɪdʒ/	年龄；时期
166	medal	/ˈmed(ə)l/	奖牌；奖章；勋章
167	Olympics (=the Olympic Games)		奥林匹克运动会
168	exciting	/ɪkˈsaɪtɪŋ/	令人兴奋的；令人激动的
169	single	/ˈsɪŋɡ(ə)l/	单个的
170	double	/ˈdʌb(ə)l/	双的
